Patch My PC Supported Products - Report Created on 02/28/2022 20:10:20 - See: https://patchmypc.com/supported-products-scup-catalog
"Product","Vendor"
"Foxit PDF Editor 11 (ML)","Foxit Software Inc."
"Foxit PDF Reader 11","Foxit Software Inc."
"Foxit PhantomPDF 10","Foxit Software Inc."
"Foxit PhantomPDF 9","Foxit Software Inc."
"Foxit Reader","Foxit Software Inc."
"JAWS 2019 (x64)","Freedom Scientific"
"JAWS 2019 (x86)","Freedom Scientific"
"JAWS 2020 (x64)","Freedom Scientific"
"JAWS 2020 (x86)","Freedom Scientific"
"JAWS 2021 (x64)","Freedom Scientific"
"JAWS 2021 (x86)","Freedom Scientific"
"JAWS 2022 (x64)","Freedom Scientific"
"JAWS 2022 (x86)","Freedom Scientific"
"ZoomText 2021","Freedom Scientific"
"ZoomText 2022","Freedom Scientific"
"GanttProject","GanttProject"
"Garmin Express","Garmin Ltd"
"GenesysCloud (EXE-x86)","Genesys Inc."
"PeaZip (x64)","Giorgio Tani"
"PeaZip (x86)","Giorgio Tani"
"GitHub CLI","Github, Inc."
"Github Desktop Machine-Wide Installer","Github, Inc."
"TightVNC (x64)","GlavSoft LLC."
"TightVNC (x86)","GlavSoft LLC."
"TightVNC Viewer (x64)","GlavSoft LLC."
"TightVNC Viewer (x86)","GlavSoft LLC."
"Jabra Direct","GN Audio A/S"
"Google Chrome (x64)","Google, Inc."
"Google Chrome (x86)","Google, Inc."
"Google Drive","Google, Inc."
"Google Earth Pro (x64)","Google, Inc."
"Google Earth Pro (x86)","Google, Inc."
"XnView","Gougelet Pierre-e"
"Greenshot","Greenshot"
"SnapGene Viewer","GSL Biotech LLC"
"HandBrake (x64)","HandBrake"
"Adobe AIR Runtime","HARMAN International"
"Huddle","Huddle"
"UltraEdit (x64 en) - EXE Install","IDM Computer Solutions, Inc."
"UltraEdit (x64 en) - MSI Install","IDM Computer Solutions, Inc."
"UltraEdit (x86 en) - EXE Install","IDM Computer Solutions, Inc."
"UltraEdit (x86 en) - MSI Install","IDM Computer Solutions, Inc."
"7-Zip (x64) - EXE Install","Igor Pavlov"
"7-Zip (x64) - MSI Install","Igor Pavlov"
"7-Zip (x86) - EXE Install","Igor Pavlov"
"7-Zip (x86) - MSI Install","Igor Pavlov"
"VitalSource Bookshelf","Ingram Content Group"
"Inkscape (x64)","Inkscape Project"
"Inkscape (x86)","Inkscape Project"
"IrfanView (x64)","Irfan Skiljan"
"IrfanView (x86)","Irfan Skiljan"
"Cyberduck (MSI)","iterate GmbH"
"IZArc","Ivan Zahariev"
"TreeSize Free","JAM Software"
"KeePassXC","KeePassXC Team"
"K-Lite Basic Codec Pack","KLCP"
"K-Lite Full Codec Pack","KLCP"
"K-Lite Mega Codec Pack","KLCP"
"K-Lite Standard Codec Pack","KLCP"
"Kofax Power PDF 4 Advanced","Kofax Inc."
"Kofax Power PDF 4.1 Advanced","Kofax Inc."
"Attendant Pro","Landis Computer"
"LsAgent","Lansweeper"
"Screenpresso","Learnpulse"
"Lenovo Dock Manager","Lenovo"
"Lenovo System Update","Lenovo"
"AutoHotkey","Lexikos"
"ImgBurn","LIGHTNING UK!"
"Logi Tune","Logitech"
"Logitech Options (x64)","Logitech"
"GoToMeeting","LogMeIn, Inc."
"LastPass","LogMeIn, Inc."
"LogMeIn Client","LogMeIn, Inc."
"Malwarebytes","Malwarebytes"
"WinSCP","Martin Prikryl"
"Master Packager","Master Packager Ltd."
"Shotcut","Meltytech, LLC"
"Mendeley Desktop","Mendeley Ltd."
"Solstice Client","Mersive Technologies, Inc"
"MicroDicom Viewer (x64)","MicroDicom"
"MicroDicom Viewer (x86)","MicroDicom"
"ConfigMgr Client Toolkit","Microsoft Corporation"
"Local Administrator Password Solution (x64)","Microsoft Corporation"
"Local Administrator Password Solution (x86)","Microsoft Corporation"
"Microsoft .NET Core Runtime and Hosting Bundle 2","Microsoft Corporation"
"Microsoft .NET Core Runtime and Hosting Bundle 3","Microsoft Corporation"
"Microsoft .NET Core Runtime and Hosting Bundle 5","Microsoft Corporation"
"Microsoft .NET Core Runtime and Hosting Bundle 6","Microsoft Corporation"
"Microsoft Azure CLI","Microsoft Corporation"
"Microsoft Azure Data Studio","Microsoft Corporation"
"Microsoft Azure Functions Core Tools (x64)","Microsoft Corporation"
"Microsoft Azure Information Protection","Microsoft Corporation"
"Microsoft Azure Storage Explorer","Microsoft Corporation"
"Microsoft Edge (x64)","Microsoft Corporation"
"Microsoft Edge (x86)","Microsoft Corporation"
"Microsoft Edge WebView2 Runtime (EXE-x64)","Microsoft Corporation"
"Microsoft EMET","Microsoft Corporation"
"Microsoft Mouse and Keyboard Center (x64)","Microsoft Corporation"
"Microsoft Mouse and Keyboard Center (x86)","Microsoft Corporation"
"Microsoft OneDrive (x64)","Microsoft Corporation"
"Microsoft OneDrive (x86)","Microsoft Corporation"
"Microsoft OpenJDK 11 (x64)","Microsoft Corporation"
"Microsoft OpenJDK 17 (x64)","Microsoft Corporation"
"Microsoft OpenJDK Latest (x64)","Microsoft Corporation"
"Microsoft Power BI Desktop (x64)","Microsoft Corporation"
"Microsoft Power BI Desktop (x86)","Microsoft Corporation"
"Microsoft Power BI Desktop Report Server (x64)","Microsoft Corporation"
"Microsoft Power BI Report Builder","Microsoft Corporation"
"Microsoft PowerToys","Microsoft Corporation"
"Microsoft SQL Server Management Studio 16","Microsoft Corporation"
"Microsoft SQL Server Management Studio 17","Microsoft Corporation"
"Microsoft SQL Server Management Studio 18","Microsoft Corporation"
"Microsoft SQL Server Reporting Services 2017","Microsoft Corporation"
"Microsoft Teams (x64)","Microsoft Corporation"
"Microsoft Teams (x86)","Microsoft Corporation"
"Microsoft Visual C++ 2015-2019 Redistributable (x64)","Microsoft Corporation"
"Microsoft Visual C++ 2015-2019 Redistributable (x86)","Microsoft Corporation"
"Microsoft Visual C++ 2015-2022 Redistributable (x64)","Microsoft Corporation"
"Microsoft Visual C++ 2015-2022 Redistributable (x86)","Microsoft Corporation"
